2022-08-27 20:09:24,103 训练次数：19 , loss :2.563843011856079
2022-08-27 20:09:24,105 训练次数：20 , loss :2.565916061401367
2022-08-27 20:09:24,107 训练次数：21 , loss :2.562209129333496
2022-08-27 20:09:24,110 训练次数：22 , loss :2.569300651550293
2022-08-27 20:09:24,112 训练次数：23 , loss :2.5679931640625
2022-08-27 20:09:24,114 训练次数：24 , loss :2.5676684379577637
2022-08-27 20:09:49,925 --------------第1轮训练开始--------------
2022-08-27 20:09:52,346 训练次数：1 , loss :2.566286087036133
2022-08-27 20:09:52,348 训练次数：2 , loss :2.5652055740356445
2022-08-27 20:09:52,351 训练次数：3 , loss :2.5646135807037354
2022-08-27 20:09:52,353 训练次数：4 , loss :2.5666024684906006
2022-08-27 20:09:52,355 训练次数：5 , loss :2.565157175064087
2022-08-27 20:09:52,357 训练次数：6 , loss :2.565635919570923
2022-08-27 20:09:52,359 训练次数：7 , loss :2.5630667209625244
2022-08-27 20:09:52,361 训练次数：8 , loss :2.5626277923583984
2022-08-27 20:09:52,363 训练次数：9 , loss :2.566497802734375
2022-08-27 20:09:52,365 训练次数：10 , loss :2.565039873123169
2022-08-27 20:09:52,367 训练次数：11 , loss :2.5676212310791016
2022-08-27 20:09:52,370 训练次数：12 , loss :2.567735195159912
2022-08-27 20:09:52,372 训练次数：13 , loss :2.5644912719726562
2022-08-27 20:09:52,374 训练次数：14 , loss :2.5649032592773438
2022-08-27 20:09:52,376 训练次数：15 , loss :2.5626049041748047
2022-08-27 20:09:52,379 训练次数：16 , loss :2.5652289390563965
2022-08-27 20:09:52,380 训练次数：17 , loss :2.5653493404388428
2022-08-27 20:09:52,382 训练次数：18 , loss :2.5620532035827637
2022-08-27 20:09:52,385 训练次数：19 , loss :2.567187786102295
2022-08-27 20:09:52,387 训练次数：20 , loss :2.5649774074554443
2022-08-27 20:09:52,389 训练次数：21 , loss :2.5656094551086426
2022-08-27 20:09:52,391 训练次数：22 , loss :2.56762433052063
2022-08-27 20:09:52,394 训练次数：23 , loss :2.5667777061462402
2022-08-27 20:09:52,396 训练次数：24 , loss :2.566004514694214
2022-08-27 20:09:55,017 --------------第2轮训练开始--------------
2022-08-27 20:09:57,191 训练次数：1 , loss :2.5662612915039062
2022-08-27 20:09:57,193 训练次数：2 , loss :2.5651748180389404
2022-08-27 20:09:57,195 训练次数：3 , loss :2.5645947456359863
2022-08-27 20:09:57,197 训练次数：4 , loss :2.566591501235962
2022-08-27 20:09:57,199 训练次数：5 , loss :2.5651462078094482
2022-08-27 20:09:57,201 训练次数：6 , loss :2.5656282901763916
2022-08-27 20:09:57,203 训练次数：7 , loss :2.5630507469177246
2022-08-27 20:09:57,205 训练次数：8 , loss :2.562602996826172
2022-08-27 20:09:57,207 训练次数：9 , loss :2.56648850440979
2022-08-27 20:09:57,209 训练次数：10 , loss :2.565023899078369
2022-08-27 20:09:57,211 训练次数：11 , loss :2.567615032196045
2022-08-27 20:09:57,213 训练次数：12 , loss :2.5677154064178467
2022-08-27 20:09:57,224 训练次数：13 , loss :2.5644633769989014
2022-08-27 20:09:57,229 训练次数：14 , loss :2.56488299369812
2022-08-27 20:09:57,231 训练次数：15 , loss :2.562589645385742
2022-08-27 20:09:57,234 训练次数：16 , loss :2.5652029514312744
2022-08-27 20:09:57,236 训练次数：17 , loss :2.5653371810913086
2022-08-27 20:09:57,238 训练次数：18 , loss :2.56203556060791
2022-08-27 20:09:57,240 训练次数：19 , loss :2.5671725273132324
2022-08-27 20:09:57,242 训练次数：20 , loss :2.564962863922119
2022-08-27 20:09:57,244 训练次数：21 , loss :2.565601348876953
2022-08-27 20:09:57,246 训练次数：22 , loss :2.567610263824463
2022-08-27 20:09:57,248 训练次数：23 , loss :2.5667667388916016
2022-08-27 20:09:57,250 训练次数：24 , loss :2.565988779067993
2022-08-27 20:11:28,033 --------------第1轮训练开始--------------
2022-08-27 20:11:30,237 训练次数：1 , loss :2.565537691116333
2022-08-27 20:11:30,239 训练次数：2 , loss :2.565629482269287
2022-08-27 20:11:30,241 训练次数：3 , loss :2.570683717727661
2022-08-27 20:11:30,243 训练次数：4 , loss :2.5684049129486084
2022-08-27 20:11:30,245 训练次数：5 , loss :2.567796468734741
2022-08-27 20:11:30,247 训练次数：6 , loss :2.5684919357299805
2022-08-27 20:11:30,249 训练次数：7 , loss :2.56795597076416
2022-08-27 20:11:30,251 训练次数：8 , loss :2.564361333847046
2022-08-27 20:11:30,253 训练次数：9 , loss :2.5665578842163086
2022-08-27 20:11:30,256 训练次数：10 , loss :2.56585955619812
2022-08-27 20:11:30,258 训练次数：11 , loss :2.5665481090545654
2022-08-27 20:11:30,261 训练次数：12 , loss :2.5696487426757812
2022-08-27 20:11:30,263 训练次数：13 , loss :2.566645383834839
2022-08-27 20:11:30,265 训练次数：14 , loss :2.567565441131592
2022-08-27 20:11:30,267 训练次数：15 , loss :2.5684800148010254
2022-08-27 20:11:30,268 训练次数：16 , loss :2.5670461654663086
2022-08-27 20:11:30,271 训练次数：17 , loss :2.5688858032226562
2022-08-27 20:11:30,273 训练次数：18 , loss :2.5660409927368164
2022-08-27 20:11:30,275 训练次数：19 , loss :2.5644984245300293
2022-08-27 20:11:30,278 训练次数：20 , loss :2.5674643516540527
2022-08-27 20:11:30,282 训练次数：21 , loss :2.564807891845703
2022-08-27 20:11:30,284 训练次数：22 , loss :2.5677404403686523
2022-08-27 20:11:30,286 训练次数：23 , loss :2.5673625469207764
2022-08-27 20:11:30,288 训练次数：24 , loss :2.566401720046997
2022-08-27 20:11:32,757 --------------第2轮训练开始--------------
2022-08-27 20:11:34,890 训练次数：1 , loss :2.5655357837677
2022-08-27 20:11:34,892 训练次数：2 , loss :2.5656261444091797
2022-08-27 20:11:34,895 训练次数：3 , loss :2.5706825256347656
2022-08-27 20:11:34,897 训练次数：4 , loss :2.568403482437134
2022-08-27 20:11:34,899 训练次数：5 , loss :2.5677950382232666
2022-08-27 20:11:34,902 训练次数：6 , loss :2.568490982055664
2022-08-27 20:11:34,904 训练次数：7 , loss :2.5679545402526855
2022-08-27 20:11:34,906 训练次数：8 , loss :2.564359188079834
2022-08-27 20:11:34,908 训练次数：9 , loss :2.5665571689605713
2022-08-27 20:11:34,908 训练次数：10 , loss :2.5658583641052246
2022-08-27 20:11:34,910 训练次数：11 , loss :2.5665476322174072
2022-08-27 20:11:34,912 训练次数：12 , loss :2.5696468353271484
2022-08-27 20:11:34,914 训练次数：13 , loss :2.5666427612304688
2022-08-27 20:11:34,916 训练次数：14 , loss :2.567563772201538
2022-08-27 20:11:34,918 训练次数：15 , loss :2.5684783458709717
2022-08-27 20:11:34,920 训练次数：16 , loss :2.5670437812805176
2022-08-27 20:11:34,922 训练次数：17 , loss :2.5688846111297607
2022-08-27 20:11:34,925 训练次数：18 , loss :2.5660390853881836
2022-08-27 20:11:34,927 训练次数：19 , loss :2.5644969940185547
2022-08-27 20:11:34,929 训练次数：20 , loss :2.567462921142578
2022-08-27 20:11:34,931 训练次数：21 , loss :2.5648069381713867
2022-08-27 20:11:34,933 训练次数：22 , loss :2.567739486694336
2022-08-27 20:11:34,935 训练次数：23 , loss :2.56736159324646
2022-08-27 20:11:34,936 训练次数：24 , loss :2.5664000511169434
2022-08-27 20:11:37,674 --------------第3轮训练开始--------------
2022-08-27 20:11:39,936 训练次数：1 , loss :2.5655336380004883
2022-08-27 20:11:39,938 训练次数：2 , loss :2.5656235218048096
2022-08-27 20:11:39,941 训练次数：3 , loss :2.5706801414489746
2022-08-27 20:11:39,943 训练次数：4 , loss :2.5684027671813965
2022-08-27 20:11:39,945 训练次数：5 , loss :2.567793846130371
2022-08-27 20:11:39,948 训练次数：6 , loss :2.5684900283813477
2022-08-27 20:11:39,950 训练次数：7 , loss :2.567953109741211
2022-08-27 20:11:39,952 训练次数：8 , loss :2.564356565475464
2022-08-27 20:11:39,953 训练次数：9 , loss :2.566555976867676
2022-08-27 20:11:39,955 训练次数：10 , loss :2.56585693359375
2022-08-27 20:11:39,958 训练次数：11 , loss :2.56654691696167
2022-08-27 20:11:39,961 训练次数：12 , loss :2.5696449279785156
2022-08-27 20:11:39,964 训练次数：13 , loss :2.5666403770446777
2022-08-27 20:11:39,966 训练次数：14 , loss :2.567561626434326
2022-08-27 20:11:39,969 训练次数：15 , loss :2.568477153778076
2022-08-27 20:11:39,971 训练次数：16 , loss :2.5670411586761475
2022-08-27 20:11:39,973 训练次数：17 , loss :2.5688834190368652
2022-08-27 20:11:39,976 训练次数：18 , loss :2.56603741645813
2022-08-27 20:11:39,978 训练次数：19 , loss :2.564495325088501
2022-08-27 20:11:39,981 训练次数：20 , loss :2.5674614906311035
2022-08-27 20:11:39,983 训练次数：21 , loss :2.5648062229156494
2022-08-27 20:11:39,985 训练次数：22 , loss :2.5677380561828613
2022-08-27 20:11:39,987 训练次数：23 , loss :2.5673608779907227
2022-08-27 20:11:39,990 训练次数：24 , loss :2.5663986206054688
2022-08-27 20:11:42,588 --------------第4轮训练开始--------------
2022-08-27 20:11:44,662 训练次数：1 , loss :2.565531015396118
2022-08-27 20:11:44,672 训练次数：2 , loss :2.5656206607818604
2022-08-27 20:11:44,674 训练次数：3 , loss :2.570678949356079
2022-08-27 20:11:44,676 训练次数：4 , loss :2.568401575088501
2022-08-27 20:11:44,678 训练次数：5 , loss :2.567793369293213
2022-08-27 20:11:44,680 训练次数：6 , loss :2.5684893131256104
2022-08-27 20:11:44,682 训练次数：7 , loss :2.5679521560668945
2022-08-27 20:11:44,684 训练次数：8 , loss :2.564354419708252
2022-08-27 20:11:44,686 训练次数：9 , loss :2.5665552616119385
2022-08-27 20:11:44,688 训练次数：10 , loss :2.5658557415008545
2022-08-27 20:11:44,690 训练次数：11 , loss :2.5665462017059326
2022-08-27 20:11:44,692 训练次数：12 , loss :2.569643259048462
2022-08-27 20:11:44,694 训练次数：13 , loss :2.5666377544403076
2022-08-27 20:11:44,696 训练次数：14 , loss :2.5675599575042725
2022-08-27 20:11:44,698 训练次数：15 , loss :2.5684754848480225
2022-08-27 20:11:44,700 训练次数：16 , loss :2.5670390129089355
2022-08-27 20:11:44,702 训练次数：17 , loss :2.568882465362549
2022-08-27 20:11:44,704 训练次数：18 , loss :2.566035747528076
2022-08-27 20:11:44,706 训练次数：19 , loss :2.5644938945770264
2022-08-27 20:11:44,707 训练次数：20 , loss :2.567460060119629
2022-08-27 20:11:44,708 训练次数：21 , loss :2.564805507659912
2022-08-27 20:11:44,710 训练次数：22 , loss :2.5677361488342285
2022-08-27 20:11:44,712 训练次数：23 , loss :2.5673599243164062
2022-08-27 20:11:44,714 训练次数：24 , loss :2.5663974285125732
2022-08-27 20:11:47,221 --------------第5轮训练开始--------------
2022-08-27 20:11:49,387 训练次数：1 , loss :2.565528631210327
2022-08-27 20:11:49,388 训练次数：2 , loss :2.565617799758911
2022-08-27 20:11:49,390 训练次数：3 , loss :2.5706775188446045
2022-08-27 20:11:49,392 训练次数：4 , loss :2.5684008598327637
2022-08-27 20:11:49,394 训练次数：5 , loss :2.5677924156188965
2022-08-27 20:11:49,396 训练次数：6 , loss :2.568488121032715
2022-08-27 20:11:49,398 训练次数：7 , loss :2.56795072555542
2022-08-27 20:11:49,400 训练次数：8 , loss :2.56435227394104
2022-08-27 20:11:49,402 训练次数：9 , loss :2.566554546356201
2022-08-27 20:11:49,404 训练次数：10 , loss :2.565854072570801
2022-08-27 20:11:49,406 训练次数：11 , loss :2.5665454864501953
2022-08-27 20:11:49,408 训练次数：12 , loss :2.56964111328125
2022-08-27 20:11:49,410 训练次数：13 , loss :2.5666353702545166
2022-08-27 20:11:49,412 训练次数：14 , loss :2.5675580501556396
2022-08-27 20:11:49,414 训练次数：15 , loss :2.5684738159179688
2022-08-27 20:11:49,416 训练次数：16 , loss :2.5670366287231445
2022-08-27 20:11:49,418 训练次数：17 , loss :2.5688812732696533
2022-08-27 20:11:49,421 训练次数：18 , loss :2.5660343170166016
2022-08-27 20:11:49,423 训练次数：19 , loss :2.5644924640655518
2022-08-27 20:11:49,425 训练次数：20 , loss :2.5674586296081543
2022-08-27 20:11:49,427 训练次数：21 , loss :2.564804792404175
2022-08-27 20:11:49,428 训练次数：22 , loss :2.567735195159912
2022-08-27 20:11:49,431 训练次数：23 , loss :2.5673587322235107
2022-08-27 20:11:49,433 训练次数：24 , loss :2.5663962364196777
2022-08-27 20:15:34,152 --------------第1轮训练开始--------------
2022-08-27 20:15:36,268 训练次数：1 , loss :2.5593361854553223
2022-08-27 20:15:36,279 训练次数：2 , loss :2.5577549934387207
2022-08-27 20:15:36,281 训练次数：3 , loss :2.5657265186309814
2022-08-27 20:15:36,283 训练次数：4 , loss :2.5650391578674316
2022-08-27 20:15:36,285 训练次数：5 , loss :2.565535068511963
2022-08-27 20:15:36,287 训练次数：6 , loss :2.5651018619537354
2022-08-27 20:15:36,289 训练次数：7 , loss :2.566711187362671
2022-08-27 20:15:36,291 训练次数：8 , loss :2.5577776432037354
2022-08-27 20:15:36,293 训练次数：9 , loss :2.5648891925811768
2022-08-27 20:15:36,296 训练次数：10 , loss :2.5643503665924072
2022-08-27 20:15:36,299 训练次数：11 , loss :2.56852388381958
