46,2022/8/22 22:37:19,108秒,手机提交,直接访问,111.26.2.204(吉林-延边),1,3,1,2,8,5,(空),2,4,3,4,3,2,4,2,3,1,4,3,3,2,2,2,3,3,2,4,4,3,2,2,4,4,2,4,2,3,4,4,4,2,4,3,2,4,2,3,2,2,3,2,3,2,4,4,3,2,4,2,4,2,4,3,5,2,3,4,3,2,2,2,3,1,2,3,4,2,3,4,2,4,2,3,4,3,3,2,4,3,2,4,243
47,2022/8/22 22:37:19,229秒,手机提交,直接访问,111.26.2.224(吉林-延边),1,2,1,2,7,4,(空),5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,4,2,4,1,2,2,5,5,1,1,4,2,4,1,5,4,4,2,5,2,2,4,2,5,4,4,1,4,2,3,4,4,4,1,4,2,5,2,5,2,4,2,4,2,4,2,2,4,4,2,4,2,4,4,2,4,3,3,1,3,1,1,3,3,2,1,3,1,243
48,2022/8/22 22:37:28,109秒,手机提交,直接访问,111.26.2.163(吉林-延边),1,3,2,2,8,2,(空),3,4,1,3,3,3,3,4,3,2,3,3,4,4,1,4,2,4,5,4,4,2,2,3,4,2,5,4,5,2,4,1,4,4,4,4,5,4,5,3,4,2,4,4,4,4,4,3,3,4,3,3,3,4,3,3,4,3,4,3,4,3,2,3,4,3,4,3,4,3,4,3,4,3,3,4,4,3,4,3,4,3,3,3,288
49,2022/8/22 22:37:32,306秒,链接,直接访问,202.98.13.216(吉林-长春),1,1,1,2,8,3,编译原理,5,4,5,4,4,2,5,3,3,4,2,3,3,2,3,4,4,4,5,5,4,4,4,5,5,4,4,4,4,5,4,3,3,2,3,5,5,5,5,3,3,3,4,4,4,3,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,4,3,3,3,2,3,4,4,3,5,4,4,4,318
50,2022/8/22 22:37:34,260秒,手机提交,直接访问,111.26.2.227(吉林-延边),1,1,6,1,8,1,《离散数学》、《面向对象程序设计》、《高等数学》,4,5,1,3,1,1,5,5,5,3,1,5,3,5,2,5,5,3,5,5,4,4,5,3,5,5,4,5,3,3,1,1,5,5,5,5,5,5,5,5,3,4,4,5,5,5,3,4,4,5,5,3,5,5,5,4,5,5,5,5,5,5,2,5,5,5,3,4,3,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,356
51,2022/8/22 22:37:35,265秒,手机提交,直接访问,111.26.2.219(吉林-延边),1,3,5,2,7,1,高等数学,5,5,1,3,3,5,5,5,3,1,1,3,3,3,3,5,5,5,3,5,1,5,3,4,5,5,3,3,3,1,1,3,3,3,3,3,3,3,3,5,1,2,4,3,3,1,1,1,1,5,5,2,5,5,5,5,3,3,3,5,5,5,5,5,3,1,5,1,1,1,1,5,5,1,1,1,1,1,5,5,5,5,5,3,274
52,2022/8/22 22:37:44,140秒,手机提交,直接访问,42.97.252.155(吉林-长春),1,2,1,1,8,2,操作系统,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,404
53,2022/8/22 22:37:45,108秒,手机提交,直接访问,111.26.3.90(吉林-四平),2,3,3,2,8,2,离散数学，数据结构,1,1,5,5,5,1,1,1,1,5,5,1,1,1,5,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,132
54,2022/8/22 22:37:47,241秒,手机提交,直接访问,111.26.2.142(吉林-延边),2,2,1,2,8,3,(空),4,4,2,2,3,3,4,4,3,3,2,4,4,4,3,4,3,4,5,5,2,4,3,3,4,2,5,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,3,4,4,4,4,4,4,4,5,4,3,3,4,4,3,4,4,4,4,5,4,4,5,4,4,5,5,4,4,4,3,4,4,322
55,2022/8/22 22:37:51,125秒,手机提交,直接访问,111.26.3.78(吉林-四平),1,3,5,2,8,3,离散数学,3,4,2,1,1,4,3,3,3,3,2,4,4,3,2,3,4,4,4,3,3,2,3,3,3,4,3,3,3,3,4,2,3,3,3,4,4,3,3,4,4,2,4,4,4,3,3,2,3,2,4,4,4,3,3,4,4,4,3,3,2,3,2,4,4,4,3,3,4,5,5,4,4,4,4,4,4,4,3,3,4,4,4,4,281
