9,3.0,2.6667,2.5,3.0,3.25,3.8571,3.0
10,3.25,3.3333,3.0,3.1429,3.25,3.7143,3.1667
3,3.25,4.1667,4.6667,3.8571,4.25,3.2857,5.0
6,2.875,2.3333,2.0,4.2857,2.75,2.7143,3.0
8,3.5,2.5,2.8333,4.7143,2.75,4.2857,4.6667
12,2.875,3.5,3.0,3.0,2.25,3.1429,2.8333
10,4.25,3.3333,2.5,4.0,3.25,3.0,4.1667
15,4.125,5.0,5.0,4.8571,5.0,5.0,5.0
12,3.75,4.0,4.0,3.4286,4.0,4.0,4.0
6,4.0,3.6667,4.1667,4.4286,3.25,3.4286,5.0
8,3.5,3.5,2.6667,3.1429,1.25,2.4286,5.0
12,3.75,4.0,3.3333,3.7143,4.0,4.0,3.8333
9,3.0,3.0,3.0,3.0,3.0,2.5714,3.1667
11,3.875,3.0,3.3333,3.5714,3.25,3.4286,3.6667
8,3.75,3.5,3.0,4.8571,3.25,4.2857,4.6667
12,3.75,3.3333,3.1667,4.5714,4.25,4.8571,4.5
4,2.0,1.3333,1.0,2.1429,2.0,1.2857,1.0
14,4.125,4.5,3.3333,4.1429,4.5,4.1429,4.0
15,4.5,3.0,4.6667,5.0,5.0,4.8571,5.0
7,3.125,3.3333,3.6667,4.7143,2.5,3.2857,4.1667
10,4.375,4.0,4.1667,4.8571,4.0,4.2857,3.8333
12,3.75,3.6667,3.3333,3.0,2.5,2.2857,2.6667
15,3.5,3.1667,2.8333,3.4286,3.75,3.5714,3.3333
14,4.5,4.0,4.1667,3.5714,4.5,4.4286,4.1667
15,4.25,4.3333,5.0,3.0,3.25,3.5714,4.8333
15,3.75,3.6667,4.3333,3.4286,3.75,4.0,4.3333
15,4.5,5.0,4.3333,4.7143,3.25,5.0,5.0
12,3.625,3.6667,3.5,3.7143,3.75,3.8571,3.8333
10,3.375,3.3333,3.0,3.4286,3.25,3.2857,3.1667
13,4.125,4.0,3.8333,4.0,3.75,4.0,4.0
9,4.125,4.1667,4.0,4.2857,3.25,4.0,4.0
9,3.0,3.6667,3.8333,3.7143,2.75,2.5714,2.6667
